Hospital ,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
A,1/1/2021,94,18,4,,,,,,,,
A,1/2/2021,94,16,6,,,,,,,,
A,1/3/2021,162,25,9,2,1,,,,,,
A,1/4/2021,90.5,27,6,1,,,,,,,
A,1/5/2021,137,34,15,,1,,,,,,
A,1/6/2021,112.5,20,6,2,,,,,,,
A,1/7/2021,130,20,8,1,,,,,,,
A,1/8/2021,106,16,3,,,,,,,,
A,1/9/2021,84.5,13,3,,,,,,,,
A,1/10/2021,102.5,16,2,2,,,,,,,
A,1/11/2021,99,20,5,2,,,,,,,
A,1/12/2021,88.5,23,4,1,,,,,,,
A,1/13/2021,128,24,10,,,,,,,,
A,1/14/2021,179,21,9,3,,,,,,,
A,1/15/2021,132,14,6,1,1,,,,,,
A,1/16/2021,96,16,5,1,,,,,,,
A,1/17/2021,71,22,2,1,1,,,,,,
A,1/18/2021,97,16,4,2,,,,,,,
A,1/19/2021,123,24,11,,,1,,,,,
A,1/20/2021,104,25,5,2,1,,,1,,,
A,1/21/2021,123.5,16,7,,,,,,,,
A,1/22/2021,114,24,8,1,,,,,,,
A,1/23/2021,78,17,1,1,,,,,,,
A,1/24/2021,83,18,2,1,,,,,,,
A,1/25/2021,131,28,11,4,,,,,,1,
A,1/26/2021,126,23,8,2,1,,,,,,
A,1/27/2021,92,26,4,1,,,,,,,
A,1/28/2021,89.5,20,1,1,1,,,,,,
A,1/29/2021,73.5,12,1,,,,,,,,
A,1/30/2021,101,17,5,,,,,,,,
A,1/31/2021,91,20,5,1,,,,,,,
A,2/1/2021,94,20,5,,,,,,,,
A,2/2/2021,99,28,3,1,,,,,,,
A,2/3/2021,95,25,6,1,,,,,,,
A,2/4/2021,119,21,4,3,,,,,,,
A,2/5/2021,115,20,7,1,,,,,,,
A,2/6/2021,107.5,18,4,2,,,,,,,
A,2/7/2021,68.5,14,2,,,,,,,,
A,2/8/2021,85,20,5,,,1,,,,,
A,2/9/2021,93.5,19,3,1,1,,,,,,
A,2/10/2021,121.5,22,10,1,,,,,,,
A,2/11/2021,125.5,10,4,,,,,,,,
A,2/12/2021,91.5,18,3,1,1,,,,,,
A,2/13/2021,78,8,2,,,,,,,,
A,2/14/2021,96,22,4,,,,,,,,
A,2/15/2021,107,26,5,2,,,,,,,
A,2/16/2021,105,27,5,,1,,,1,,,
A,2/17/2021,109.5,23,7,,,,,,,,
A,2/18/2021,,22,,,,,,,,,
A,2/19/2021,94,11,2,1,,,,,,,
A,2/20/2021,76,17,4,,,,,,,,
A,2/21/2021,75,21,4,,,,,,,,
A,2/22/2021,80,24,3,3,,,,,,,
A,2/23/2021,98,25,6,1,,,,,,,
A,2/24/2021,86,23,5,,1,,,,,,
A,2/25/2021,112,30,10,1,,,,,,,
A,2/26/2021,95,25,5,2,,,,,,,
A,2/27/2021,65,19,1,1,,,,,,,
A,2/28/2021,74,15,2,,,,,,,,
A,3/1/2021,75,15,3,,,,,,,,
A,3/2/2021,86.5,21,6,,,,,,,,
A,3/3/2021,70,13,2,,,,,,,,
A,3/4/2021,98,22,3,1,,,,,,,
A,3/5/2021,82,17,4,,,,,,,,
A,3/6/2021,66,13,3,,,,,,,,
A,3/7/2021,76.5,21,4,,,,,,,,
A,3/8/2021,81,23,5,,,,,,,,
A,3/9/2021,143.5,25,9,2,,,,,,,
A,3/10/2021,74.5,17,3,,,,,,,,
A,3/11/2021,102,27,10,1,,,,,,,
A,3/12/2021,101,16,2,1,,,,,,,
A,3/13/2021,98,18,4,,,,,,,,
A,3/14/2021,99,13,3,,,,,,,,
A,3/15/2021,113,21,5,2,,,,,,,
A,3/16/2021,103.5,29,8,3,,,,,,,
A,3/17/2021,89.5,24,4,2,,,,,,,
A,3/18/2021,103.5,27,5,1,,,,,,,
A,3/19/2021,86,24,3,,,,,,,,
A,3/20/2021,68,20,1,,,1,,,,,
A,3/21/2021,107.5,16,6,1,,,,,,,
A,3/22/2021,87,29,4,1,,,,,,,
A,3/23/2021,105,31,6,1,1,,,,,,
A,3/24/2021,136.5,23,12,1,,,,,,,
A,3/25/2021,144,37,17,3,1,,,,,,
A,3/26/2021,95,20,6,,,,,,,,
A,3/27/2021,97.5,14,5,,,,,,,,
A,3/28/2021,73,14,1,,,,,,,,
A,3/29/2021,112,21,5,1,1,,,,,,
A,3/30/2021,86,19,6,,,,,,,,
A,3/31/2021,112.5,27,9,1,1,,,,,,
A,4/1/2021,77,18,5,,,,,,,,
A,4/2/2021,99,27,8,1,,,,,,,
