Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
B,1/1/2021,96,5,,,,,,,,,
B,1/2/2021,54,11,,1,,,,,,,
B,1/3/2021,41,6,,,,,,,,,
B,1/4/2021,63,9,2,,,,,,1,,
B,1/5/2021,39,4,,,,,,,,,
B,1/6/2021,73,6,,,,,,,,,
B,1/7/2021,79,5,,,1,,,,,,
B,1/8/2021,75,4,1,,,,,,,,
B,1/9/2021,32,3,,,,,,,,,
B,1/10/2021,55,6,,,,,,,,,
B,1/11/2021,105.5,6,1,1,,,,,1,,
B,1/12/2021,97.5,7,3,,,,,,,,
B,1/13/2021,64.5,10,2,,,,,,,,
B,1/14/2021,38.5,7,,,,,,,,,
B,1/15/2021,79,5,,,,,,,,,
B,1/16/2021,60,5,,1,,,,,,,
B,1/17/2021,73.5,8,1,,,,,,,,
B,1/18/2021,65,8,,1,,,,,,,
B,1/19/2021,123,5,3,,,,,,,,
B,1/20/2021,51,4,,,,,,,,,
B,1/21/2021,97,9,2,,,,,,,,
B,1/22/2021,64,10,1,,,,,,,,
B,1/23/2021,63,6,,,,,,,,,
B,1/24/2021,59,4,,,,,,,,,
B,1/25/2021,66,8,1,,,,,,,,
B,1/26/2021,52,1,,,,,,,,,
B,1/27/2021,121.5,4,1,,,,,,,,
B,1/28/2021,224,10,2,1,1,,,1,,,
B,1/29/2021,104,1,,,,,,,,,
B,1/30/2021,94,3,1,,,,,,,,
B,1/31/2021,62,9,2,,,,,1,,,
B,2/1/2021,64,3,1,,,,,,,,
B,2/2/2021,108,8,2,1,,,,,,,
B,2/3/2021,53,6,,,,,,,,,
B,2/4/2021,62,13,1,,,,,,,,
B,2/5/2021,121,8,4,,,,,,,,
B,2/6/2021,86,8,,,,,,,,,
B,2/7/2021,59,7,,,,,,,,,
B,2/8/2021,45,11,,1,,,,,,,
B,2/9/2021,47,8,,,,,,,,,
B,2/11/2021,64,6,,1,,,,,,,
B,2/12/2021,119,5,,,2,,,,,,
B,2/13/2021,62.5,7,2,,,,,,,,
B,2/14/2021,48,4,,,,,,,,,
B,2/15/2021,54,4,1,,,,,,,,
B,2/16/2021,77.5,4,,,,,,,,,
B,2/17/2021,71,12,,,,,,,,,
B,2/18/2021,,11,,,,,,,,,
B,2/19/2021,51,9,1,1,,,,,,,
B,2/20/2021,53,2,,,,,,,,,
B,2/21/2021,67,7,2,,,,,,,,
B,2/22/2021,44,8,,,,,,,,,
B,2/23/2021,84,10,,,,,,,,,
B,2/24/2021,116,6,,,,,,,,,
B,2/25/2021,73,11,1,,,,,,,,
B,2/26/2021,57,8,1,,,,,,,,
B,2/27/2021,82.5,10,1,,,,,,,,
B,2/28/2021,117,10,4,,,,,,,,
B,3/1/2021,92,5,1,,,,,,,,
B,3/2/2021,80,15,4,,,,,,,,
B,3/3/2021,91,6,2,,,,,,,,
B,3/4/2021,81,8,,,,,,,,,
B,3/5/2021,82,9,2,,,,,,,,
B,3/6/2021,62,5,1,,,,,,,,
B,3/7/2021,98,10,2,,,,,,,,
B,3/8/2021,65,7,1,,,,,,,,
B,3/9/2021,51,6,,,,,,,,,
B,3/10/2021,44,10,1,,,,,,,,
B,3/11/2021,55,9,3,1,,,,,,,
B,3/12/2021,84,8,2,,,,,,,,
B,3/13/2021,43.5,6,1,,,,,,,,
B,3/14/2021,80,10,1,,,,,,,,
B,3/15/2021,61.5,3,,,,,,,,,
B,3/16/2021,94,4,,,,,,,,,
B,3/17/2021,48,9,1,1,,,,,,,
B,3/18/2021,76.5,10,2,,,,,,,,
B,3/19/2021,53,7,,,1,,,,,,
B,3/20/2021,61,7,2,,,,,,,,
B,3/21/2021,88,7,2,,,,,,,,
B,3/22/2021,70,4,,,,,,,,,
B,3/23/2021,81.5,8,3,,,,,,,,
B,3/24/2021,102,10,2,,,,,,,,
B,3/25/2021,79,7,,,,,,,,,
B,3/26/2021,37,2,,,,,,,,,
B,3/27/2021,77,5,1,1,,,,,,,
B,3/28/2021,59,7,1,,,,,,,,
B,3/29/2021,67,7,1,,,,,,,,
B,3/30/2021,102,10,2,,,,,,,,
B,3/31/2021,57,10,,,,,,,,,
B,4/1/2021,75,11,1,1,1,,,,,,
B,4/2/2021,89.5,8,2,1,,,,,,,
B,4/3/2021,53,11,1,,,,,,,,
B,4/4/2021,75,7,,,,,,,,1,
B,4/5/2021,66,10,1,,,,,1,,,
B,4/6/2021,71,12,2,,,,,,,,
B,4/7/2021,74,6,,,,,,,,,
B,4/8/2021,59,10,3,,,,,,,,
B,4/9/2021,85,10,1,1,,,,,,,
B,4/10/2021,76.5,9,2,,,,,,,,
B,4/11/2021,58,6,,,,,,,,,
B,4/12/2021,156.5,5,1,1,,,,,,,
B,4/13/2021,109,5,1,,,,,,,,
B,4/14/2021,163,5,2,1,1,,,,,,
B,4/15/2021,89,7,2,,,,,,,,
B,4/16/2021,83,12,1,,1,,,,,,
B,4/17/2021,55,6,,1,,,,,,,
B,4/18/2021,134.5,8,3,,1,,1,,,,
B,4/19/2021,85,13,2,,,,,,,,
B,4/20/2021,85,6,1,,,,,,,,
B,4/21/2021,89,10,2,1,,,,,,,
B,4/22/2021,147,8,3,,,1,,,,,
B,4/23/2021,96,9,2,,,,,,,,
B,4/24/2021,55.5,10,1,2,,,,,,,
B,4/25/2021,104,4,2,,,,,,,,
B,4/26/2021,132,11,3,2,,1,,,,,
B,4/27/2021,111,8,,1,1,1,,,,,
B,4/28/2021,51.5,11,2,1,,,,,,,
B,4/29/2021,67,11,1,2,,,,,,,
B,4/30/2021,78,11,2,,,,,,,,
B,5/1/2021,44,8,1,,,,,,,,
B,5/2/2021,64,10,,,,,,,,,
B,5/3/2021,51,9,2,,,,,,,,
B,5/4/2021,56,15,3,1,,1,,,,,
B,5/5/2021,201,3,,,1,,,,,,
B,5/6/2021,74,5,1,,,,1,,,,
B,5/7/2021,79.5,11,,,,,1,1,,,
B,5/8/2021,71.5,7,,,,,,,,,
B,5/9/2021,53,9,,,,,,,,,
B,5/10/2021,64,6,,,,,,,,,
B,5/11/2021,100,4,1,,,,,,,,
B,5/12/2021,85.5,13,,1,,,,,,,
B,5/13/2021,107,5,1,1,,,,,,,
B,5/14/2021,71,12,2,,,,,,,,
B,5/15/2021,62,5,1,,,,,,,,
B,5/16/2021,75.5,10,,,1,,,,,,
B,5/17/2021,73,6,1,,,,,,,,
B,5/18/2021,70.5,7,,,,,,,,,
B,5/19/2021,40,13,,,,,,,,,
B,5/20/2021,225,11,2,3,,,,,1,,
B,5/21/2021,89,12,3,1,1,,,,,,
B,5/22/2021,69.5,5,,,,,,,,,
B,5/23/2021,86,11,1,,,,,,,,
B,5/24/2021,197,9,5,,1,,1,,,,
B,5/25/2021,89.5,8,,1,1,,,,,,
B,5/26/2021,60,8,1,,,,,,,,
B,5/27/2021,63,8,,1,,,,,,,
B,5/28/2021,165,2,1,,,,,,,,
B,5/29/2021,70,6,1,,,,,,,,
B,5/30/2021,58,9,,,,,,,,,
B,5/31/2021,49,7,2,,,,,,,,
B,6/1/2021,103.5,5,1,1,,,,,,,
B,6/2/2021,77,7,1,1,,,,,,,
B,6/3/2021,118.5,12,2,,,,,,,,
B,6/4/2021,100,11,,,,,,,,,
B,6/5/2021,109.5,4,1,,,,,,,,
B,6/6/2021,71,9,1,,,,,,,,
B,6/7/2021,92,11,4,1,,,,,,,
B,6/8/2021,52,10,2,,,,,,,,
B,6/9/2021,61.5,8,3,,,,,,,,
B,6/10/2021,60,10,2,,,,,,,,
B,6/11/2021,72,9,1,,,,,,,,
B,6/12/2021,120,3,1,1,,,,,,,
B,6/13/2021,113.5,12,4,,,,,,,,
B,6/14/2021,46,11,1,,,,,,,,
B,6/15/2021,94,9,2,,,,,,,,
B,6/16/2021,87,14,2,,,,,,,,
B,6/17/2021,65,5,,1,,,,,,,
B,6/18/2021,50,5,,,,,,,,,
B,6/19/2021,79,8,,,,,,,,,
B,6/20/2021,106,8,3,,,,,,,,
B,6/21/2021,72,9,,,,,,,,,
B,6/22/2021,92,10,2,1,,,,,,,
B,6/23/2021,103,15,4,2,,,,,,,
B,6/24/2021,80.5,9,3,,,,,,,,
B,6/25/2021,28,3,,,,,,,,,
B,6/26/2021,70.5,12,2,,2,,,,,,
B,6/27/2021,60,6,,,1,,,,,,
B,6/28/2021,48.5,7,,,,,,,,,
B,6/29/2021,152.5,7,3,,,,,,,,
B,6/30/2021,62,16,3,,,,,,,,
B,7/1/2021,78.5,10,1,,,,,,,,
B,7/2/2021,56,8,,1,,,,,,,
B,7/3/2021,28,3,,,,,,,,,
B,7/4/2021,85.5,14,2,2,,,,,,,
B,7/5/2021,59,14,2,1,,,,,,,
B,7/6/2021,108,11,2,1,1,,,,,,
B,7/7/2021,80.5,10,1,1,1,,,,,,
B,7/8/2021,101,10,2,,,,,,,,
B,7/9/2021,127,6,1,1,,,,,,,
B,7/10/2021,151,5,1,1,1,,,,,,
B,7/11/2021,45,6,,,,,,,,,
B,7/12/2021,47,8,1,,,,,,,,
B,7/13/2021,66,12,1,,,,,,,,
B,7/14/2021,76.5,6,1,,,,,,,,
B,7/15/2021,105,10,3,1,,,,,,,
B,7/16/2021,185,8,3,1,1,,,,,,
B,7/17/2021,74,6,1,1,,,,,,,
B,7/18/2021,84,6,1,,,,,,,,
B,7/19/2021,91,12,3,,,,,,,,
B,7/20/2021,57,11,1,,,,1,,,,
B,7/21/2021,69,12,2,,,,,,,,
B,7/22/2021,75,7,1,1,,,,1,,,
B,7/23/2021,50,4,,,,,,,,,
B,7/24/2021,171,5,,2,,,,,,,
B,7/25/2021,55,5,,,,1,,,,,
B,7/26/2021,166.5,11,4,,,,,,,,
B,7/27/2021,90,12,2,,,,,,,,
B,7/28/2021,84,6,2,,,,,,,,
B,7/29/2021,62.5,6,1,,,,,,,,
B,7/30/2021,56,9,1,,,,,,,,
B,7/31/2021,54,9,1,,,,,,,,
B,8/1/2021,119,12,3,1,,,,,,,
B,8/2/2021,61,5,1,,,,,,,,
B,8/3/2021,130,8,4,1,,1,,,,,
B,8/4/2021,59,6,1,,,,,,,,
B,8/5/2021,52,8,1,,,,,,,,
B,8/6/2021,172,7,3,1,,,,,,,
B,8/7/2021,46.5,7,2,,,,,,,,
B,8/8/2021,91,9,3,,,,,,,,
B,8/9/2021,48.5,8,1,,,,,,,,
B,8/10/2021,60.5,8,,,,,,,,,
B,8/11/2021,103,9,4,,,,,,,,
B,8/12/2021,193,3,,1,,,,,,,
B,8/13/2021,52,9,,1,,,,,,,
B,8/14/2021,63,8,1,,1,,,,,,
B,8/15/2021,36,7,,,,1,,,,,
B,8/16/2021,125.5,8,3,,,2,,,,,
B,8/17/2021,121,2,1,,,,,,,,
B,8/18/2021,43,11,1,,1,,,,,,
B,8/19/2021,134,10,4,1,,1,,,,,
B,8/20/2021,80,6,1,,,1,,,,,
B,8/21/2021,63,7,1,,,,,,,,
B,8/22/2021,61.5,10,1,1,,,,,,,
B,8/23/2021,71,7,,,2,,,,,,
B,8/24/2021,179,8,1,1,,1,,,,,
B,8/25/2021,70,7,2,,,,,,,,
B,8/26/2021,67,6,,,,,,,,,
B,8/27/2021,82,9,,,,2,,,,,
B,8/28/2021,80,10,2,1,,,,,,,
B,8/29/2021,29.5,4,,,,,,,,,
B,8/30/2021,55,9,2,,,,,,,,
B,8/31/2021,71,13,1,2,,,,1,,,
B,9/1/2021,145,6,3,,,,1,,,,
B,9/2/2021,73,6,2,,,,,,,,
B,9/3/2021,95,7,1,,,,,1,,,
B,9/4/2021,65,11,1,,,,,,,,
B,9/5/2021,95,13,2,1,1,,,,,,
B,9/6/2021,59,5,,,,,,,,,
B,9/7/2021,113.5,10,,2,2,,,,,,
B,9/8/2021,45,5,1,,,,,,,,
B,9/9/2021,54,4,,,,,,,,,
B,9/10/2021,61,5,1,,,,,,,,
B,9/11/2021,67,4,1,,,,,,,,
B,9/12/2021,125,12,3,1,,,1,,,,
B,9/13/2021,44,5,,,,,,,,,
B,9/14/2021,307.5,7,,2,2,,,,,,
B,9/15/2021,100,5,,1,,,,,,,
B,9/16/2021,103,11,2,1,1,,,,,,
B,9/17/2021,95.5,7,1,,,1,,,,,
B,9/18/2021,503.5,2,1,,,,,1,,,
B,9/19/2021,47.5,3,,,,,,,,,
B,9/20/2021,53,8,,1,,,,,,,
B,9/21/2021,89,10,2,2,,,,,,,
B,9/22/2021,122,9,3,2,,,,,,,
B,9/23/2021,65,6,,,1,,,,,,
B,9/24/2021,68,5,1,,1,,,,,,
B,9/25/2021,132,7,3,1,1,,,,,,
B,9/26/2021,75,8,1,,,,,,,,
B,9/27/2021,57,8,,1,,,1,1,,,
B,9/28/2021,162,6,2,,,,,,,,
B,9/29/2021,51,7,2,,,,,,,,
B,9/30/2021,102,8,,,1,1,,1,,,
B,10/1/2021,48.5,3,,,,,,,,,
B,10/2/2021,62,7,1,,,1,,,,,
B,10/3/2021,19,7,,,,,1,,,,
B,10/4/2021,105.5,9,3,,,,,,,,
B,10/5/2021,59.5,6,1,,,,,,,,
B,10/6/2021,192,4,,1,,1,,,,,
B,10/7/2021,77.5,9,1,,,,,1,,,
B,10/8/2021,94,7,1,,1,,1,,,,
B,10/9/2021,53,4,1,,,,,,,,
B,10/10/2021,65,7,,,,,,,,,
B,10/11/2021,70,8,1,,,,,,,,
B,10/12/2021,180,10,1,,1,2,,1,,,
B,10/13/2021,101,5,,,,,,,,,
B,10/14/2021,105,4,2,,,,,,,,
B,10/15/2021,537,10,,,,1,,4,,,
B,10/16/2021,320,4,,2,,,,,,,
B,10/17/2021,94,6,3,,,,,,,,
B,10/18/2021,129,8,2,1,,,,,,,
B,10/19/2021,72.5,6,,,,,,,,,
B,10/20/2021,55,8,,,,,,,,,
B,10/21/2021,129.5,8,2,,,,1,,,,
B,10/22/2021,136,5,3,,,,,,,,
B,10/23/2021,111,5,1,,,,,,,,
B,10/24/2021,137,10,4,1,,,,,,,
B,10/25/2021,80,8,,,1,,,,,,
B,10/26/2021,97,8,,,,,,1,,,
B,10/27/2021,59,9,1,,1,1,,,,,
B,10/28/2021,68,9,1,,,,,,,,
B,10/29/2021,59,8,,,,,,1,,,
B,10/30/2021,559,9,,,3,,1,3,,,
B,10/31/2021,357,7,,1,1,,,1,1,,
B,11/1/2021,190,7,2,1,,1,,,,,
B,11/2/2021,78,10,,,1,,,,,,
B,11/3/2021,69,9,1,,,,,,,,
B,11/4/2021,95,6,1,,,,,,,,
B,11/5/2021,180.5,7,2,,1,,,,,,
B,11/6/2021,54.5,10,1,,,,,,,,
B,11/7/2021,84,6,2,1,,,,,,,
B,11/8/2021,60,9,1,,,,,,,,
B,11/9/2021,103,8,,,1,,,,,,
B,11/10/2021,83,9,,,1,,,,,,
B,11/11/2021,65.5,5,,,,,,,,,
B,11/12/2021,205,7,3,1,,,,,,,
B,11/13/2021,28,3,,,,,,,,,
B,11/14/2021,58,4,,,1,,,,,,
B,11/15/2021,102,11,2,1,,,,1,,,
B,11/16/2021,187,8,2,1,1,,,1,,,
B,11/17/2021,106.5,7,2,,,,,,,,
B,11/18/2021,161,7,2,,1,,,,,,
B,11/19/2021,,3,,,,,,,,,
B,11/20/2021,33,1,,,,,,,,,
B,11/21/2021,136,3,2,,,,,,,,
B,11/22/2021,76.5,11,1,,,,,1,,,
B,11/23/2021,121,7,2,,2,,,,,,
B,11/24/2021,59,8,2,,,,,,,,
B,11/25/2021,59,16,2,,1,,,,,,
B,11/26/2021,112,10,3,,,,,1,,,
B,11/27/2021,109,3,,,,,,,,,
B,11/28/2021,85,7,,,,,,2,,,
B,11/29/2021,97.5,5,,,,,,,,,
B,11/30/2021,77.5,4,,,,,,,,,
B,12/1/2021,114,12,3,,1,,,,,1,
B,12/2/2021,41,11,2,,1,,,,,,
B,12/3/2021,110,1,,,,,,,,,
B,12/4/2021,93,4,1,,,,,,,,
B,12/5/2021,95.5,4,2,,,,,,,,
B,12/6/2021,182,6,2,,1,,,,1,,
B,12/7/2021,128,7,3,,1,,,,,,
B,12/8/2021,83,8,1,,,,,,1,,
B,12/9/2021,78,8,1,,,,,1,,,
B,12/10/2021,90.5,8,1,1,,,,,,1,
B,12/11/2021,72.5,3,1,,,,,,,,
B,12/12/2021,88,8,1,1,1,,,,,,
B,12/13/2021,73,7,1,,,,,,,,
B,12/14/2021,99,4,1,,,,,,,,
B,12/15/2021,101,7,1,,,1,,,,,
B,12/16/2021,84.5,8,1,,,,,,,,
B,12/17/2021,"1,569",2,,,,,,,1,,
B,12/18/2021,148,7,2,,,,,,,,
B,12/19/2021,47,4,1,,,,,,,,
B,12/20/2021,388.5,7,1,,,,1,2,,,
B,12/21/2021,102.5,6,2,,,,,,,,
B,12/22/2021,56,15,2,,,,,,,,
B,12/23/2021,142,8,1,,2,,,,,,
B,12/24/2021,60.5,7,1,,,,,,,,
B,12/25/2021,36,4,,,,,,,,,
B,12/26/2021,51,7,,,,,,,,,
B,12/27/2021,116,6,1,1,,,,,,,
B,12/28/2021,90.5,4,1,,,,,,,,
B,12/29/2021,93,5,,,,,,,,,
B,12/30/2021,144,14,7,2,,,,1,,,
B,12/31/2021,54,2,,,,,,,,,
B,1/1/2022,63.5,4,,,,,,,,,
B,1/2/2022,77,6,1,,,,,,,,
B,1/3/2022,196,9,6,1,,,,,,,
B,1/4/2022,120,3,1,,,,,,,,
B,1/5/2022,125,5,3,,,,,,,,
B,1/6/2022,39,4,,,,,,,,,
B,1/7/2022,106,3,,,,,,,,,
B,1/8/2022,131,8,1,1,,,,,,1,
B,1/9/2022,176.5,7,4,,,,,,,,
B,1/10/2022,111,9,2,,1,1,,,,,
B,1/11/2022,106.5,7,1,,,,,,,,
B,1/12/2022,62,8,,,,,,,,,
B,1/13/2022,67,8,2,,,,,,,,
B,1/14/2022,81,1,,,,,,,,,
B,1/15/2022,87.5,5,1,1,,,,,,,
B,1/16/2022,70,6,1,,,,,,,,
B,1/17/2022,82,5,1,,,,,,,,
B,1/18/2022,112,7,1,,,,,,,,
B,1/19/2022,103,1,,,,,,,,,
B,1/20/2022,71.5,9,2,,,,,,,,
B,1/21/2022,110,7,2,,,,,,,,
B,1/22/2022,61.5,10,,,,,,,,,
B,1/23/2022,133,3,2,,,,,,,,
B,1/24/2022,123.5,4,1,,,,,,,,
B,1/25/2022,111,9,,3,,,,,,,
B,1/26/2022,146,7,3,,,,,,,,
B,1/27/2022,82,9,2,2,,,,,,,
B,1/28/2022,47,6,,,,,,,,,
B,1/29/2022,81,7,1,,,,,,,,
B,1/30/2022,57,5,,1,,,,,,,
B,1/31/2022,55,8,1,,,,,,,,
B,2/1/2022,72,6,2,,,,,,,,
B,2/2/2022,52,7,1,,,,,,,,
B,2/3/2022,67,2,,,,,,,,,
B,2/4/2022,65,7,3,,,,,,,,
B,2/5/2022,25,3,,,,,,,,,
B,2/6/2022,126.5,4,1,,1,,,,,,
B,2/7/2022,111.5,9,3,1,,,,,,,
B,2/8/2022,87.5,8,3,,,,,,,,
B,2/9/2022,52,5,1,,,,,,,,
B,2/10/2022,103,7,,,,,,,,,
B,2/11/2022,102,8,,,,,,,,,
B,2/12/2022,46,8,1,,,,,,,,
B,2/13/2022,40,5,,,,,,,,,
B,2/14/2022,114,8,3,,,,,,,,
B,2/15/2022,91,9,1,1,1,,,,,1,
B,2/16/2022,76,6,,,,,,,,,
B,2/17/2022,101,2,,,,,,,,,
B,2/18/2022,127,13,3,2,,,,,,,
B,2/19/2022,139.5,6,1,2,,,,,,,
B,2/20/2022,21,4,,,,,,,,,
B,2/21/2022,64,11,1,,,,,,,,
B,2/22/2022,51,3,1,,,,,,,,
B,2/23/2022,66,5,,1,,,,,,,
B,2/24/2022,72,5,1,1,,,,,,,
B,2/25/2022,45.5,9,1,,,,,,,,
B,2/26/2022,149,9,1,2,,,,,,,
B,2/27/2022,28,6,1,,,,,,,,
B,2/28/2022,69.5,3,,,,,,,,,
B,3/1/2022,119.5,7,3,,,,,,,,
B,3/2/2022,76,7,1,,,,,,,,
B,3/3/2022,63,5,1,,,,,,,,
B,3/4/2022,40,9,,,,,,,,,
B,3/5/2022,52,7,,,,,,,,,
B,3/6/2022,76,6,1,,,,,,,,
B,3/7/2022,101,3,1,,,,,,,,
B,3/8/2022,64.5,7,,,,,,,,,
B,3/9/2022,82,7,1,,,,,,,,
B,3/10/2022,92.5,8,3,,,,,,,,
B,3/11/2022,108,6,1,,1,,,,,,
B,3/12/2022,49,5,,,,,,,,,
B,3/13/2022,56,9,,,,,,,,,
B,3/14/2022,52,10,1,1,,,,,,,
B,3/15/2022,131.5,12,1,3,,1,,,,,
B,3/16/2022,68,11,2,,,,,,,,
B,3/17/2022,76.5,5,,,,,,,,,
B,3/18/2022,58,7,,1,,,,,,,
B,3/19/2022,53,7,,,,,,,,,
B,3/20/2022,38,7,,,,,,,,,
B,3/21/2022,37,6,,,1,,,,,,
B,3/22/2022,57.5,8,,1,,,,,,,
B,3/23/2022,56,10,,,,,,,,,
B,3/24/2022,90,5,,1,,,,,,,
B,3/25/2022,68.5,7,1,1,,,,,,,
B,3/26/2022,54,10,1,,,,,,,,
B,3/27/2022,58,8,2,,,,,,,,
B,3/28/2022,65,8,1,,1,,,,,,
B,3/29/2022,103.5,11,3,1,,,,,,,
B,3/30/2022,87,8,2,,,,,,,,
B,3/31/2022,77,10,,,,,,,,,
B,4/1/2022,18.5,8,,,,,,,,,
B,4/2/2022,103,2,1,,,,,,,,
B,4/3/2022,44.5,4,,,,,,,,,
B,4/4/2022,90,11,,,,,,,,,
B,4/5/2022,39,5,1,,,,,,,,
B,4/6/2022,89,7,1,1,,,,,,,
