Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
C,1/1/2021,71.5,7,1,,,,,,,,
C,1/2/2021,94,6,1,,,,,,,,
C,1/3/2021,98,7,1,,1,,,,,,
C,1/4/2021,90,13,2,,,,,,,,
C,1/5/2021,93,5,1,,,,,,,,
C,1/6/2021,29,5,,,,,,,,,
C,1/7/2021,86.5,7,1,,,,,,,,
C,1/8/2021,97,5,,,,,,,,,
C,1/9/2021,103,5,2,,,,,,,,
C,1/10/2021,118,9,4,,,,,,,,
C,1/11/2021,76,5,1,,,,,,,,
C,1/12/2021,99,3,,,,,,,,,
C,1/13/2021,151,14,7,1,1,,,,,,
C,1/14/2021,76,11,1,,,,,,,,
C,1/15/2021,125,9,4,1,,,,,,,
C,1/16/2021,64,4,,,,,,,,,
C,1/17/2021,59,8,1,,,,,,,,
C,1/18/2021,94,8,,,,,,,,,
C,1/19/2021,80,7,,,,,,1,,,
C,1/20/2021,74,9,1,,,1,,,,,
C,1/21/2021,127,6,3,,,,,,,,
C,1/22/2021,89,5,1,,,,,,,,
C,1/23/2021,88,8,1,,,,,,,,
C,1/24/2021,86.5,9,2,1,,,,,,,
C,1/25/2021,70,11,3,,,,,,,,
C,1/26/2021,116,6,1,,,,,,,,
C,1/27/2021,115,6,,,,,,,,,
C,1/28/2021,114,4,1,1,,,,,,,
C,1/29/2021,88,8,2,,,,,,,,
C,1/30/2021,92,3,1,,,,,,,,
C,1/31/2021,57,6,,,,,,,,,
C,2/1/2021,131,11,4,,,,,,,,
C,2/2/2021,33,9,,,,,,,,,
C,2/3/2021,97,11,3,,,,,,,,
C,2/4/2021,126.5,2,1,,,,,,,,
C,2/5/2021,143,11,3,,,,,1,,,
C,2/6/2021,128.5,8,3,,,1,,,,,
C,2/7/2021,140,3,3,,,,,,,,
C,2/8/2021,127,3,2,,,,,,,,
C,2/9/2021,174,3,3,,,,,,,,
C,2/10/2021,168.5,5,2,,,,,,,,
C,2/11/2021,69,5,1,,,,,,,,
C,2/12/2021,64.5,9,,,,,,,,,
C,2/13/2021,68,9,1,,,,,,,,
C,2/14/2021,124,9,4,1,,,,,,,
C,2/15/2021,53,10,1,,,,,,,,
C,2/16/2021,99,5,,,,,,,,,
C,2/17/2021,123,12,7,,,,,,,,
C,2/18/2021,,5,,,,,,,,,
C,2/19/2021,70,5,2,,,,,,,,
C,2/20/2021,79,3,,,,,,,,,
C,2/21/2021,110,5,,2,,,,,,,
C,2/22/2021,81.5,2,,,,,,,,,
C,2/23/2021,90,8,1,,,,,,,,
C,2/24/2021,76.5,7,,1,,,,,,,
C,2/25/2021,71.5,2,,,,,,,,,
C,2/26/2021,42,14,2,,,,,,,,
C,2/27/2021,95,11,3,,,,,,,,
C,2/28/2021,150.5,6,1,1,,,,,,,
C,3/1/2021,119,8,1,,,,,,,,
C,3/2/2021,77,9,1,,,,,,,,
C,3/3/2021,97,5,1,,,,,,,,
