Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
D,1/1/2021,143,43,17,8,,1,,,,,
D,1/2/2021,118,44,15,3,1,,,2,,,
D,1/3/2021,104,53,15,5,1,,,,,,
D,1/4/2021,141.5,52,17,10,3,,,,,,
D,1/5/2021,156,41,21,4,1,,,,,,
D,1/6/2021,121.5,48,17,5,1,,,2,,,
D,1/7/2021,127,47,17,7,1,,,,,,
D,1/8/2021,142.5,46,27,2,1,,,,,,
D,1/9/2021,147,39,18,4,1,,,,,,
D,1/10/2021,99,35,11,,1,,,,,,
D,1/11/2021,106,56,17,4,1,,,,,,
D,1/12/2021,123,51,18,8,,1,,,,,
D,1/13/2021,141,49,25,3,,2,,,,,
D,1/14/2021,121,50,16,9,,,,,,,
D,1/15/2021,134,43,21,3,4,,,,,,
D,1/16/2021,109,39,13,2,1,,,,,,
D,1/17/2021,126,37,15,3,2,,1,,,,
D,1/18/2021,140,61,30,6,2,,,,,,
D,1/19/2021,144,46,23,3,1,,,,,,
D,1/20/2021,155.5,55,22,7,2,,,2,1,,
D,1/21/2021,153,48,21,10,2,,,,,,
D,1/22/2021,151,57,30,8,,1,,2,,1,
D,1/23/2021,140,35,15,5,,,,,,,
D,1/24/2021,133.5,33,15,2,2,,,,,,
D,1/25/2021,117,64,26,4,1,,,,,,
D,1/26/2021,116,44,15,3,2,1,,,,,
D,1/27/2021,129,52,20,4,3,1,,1,,,
D,1/28/2021,141,51,20,10,,,,,,,
D,1/29/2021,119,53,16,6,2,,1,,,1,
D,1/30/2021,101.5,33,10,2,,,,,,,
D,1/31/2021,102.5,33,10,3,,,,,,,
D,2/1/2021,125.5,53,24,4,1,,,,,,
D,2/2/2021,113,51,18,2,1,,1,1,,,
D,2/3/2021,135,41,16,6,,1,,1,,,
D,2/4/2021,144,54,28,6,,1,,,1,,
D,2/5/2021,126.5,49,20,5,1,,,,,,
D,2/6/2021,119,49,16,2,1,1,2,,,,
D,2/7/2021,128,35,16,1,,,,,1,1,
D,2/8/2021,115,46,12,4,3,1,1,,,,
D,2/9/2021,107,45,14,3,,1,,,2,,
D,2/10/2021,109.5,49,15,,1,,,1,1,,
D,2/11/2021,122,56,22,6,,,,1,,,
D,2/12/2021,145.5,55,24,9,2,,,,,,
D,2/13/2021,145.5,34,17,2,,,,,,,
D,2/14/2021,122.5,42,16,5,,,,,,,
D,2/15/2021,137,55,23,7,,,,2,,,
D,2/16/2021,136.5,38,18,5,1,,,,,,
D,2/17/2021,119.5,40,13,5,1,,,1,,,
D,2/18/2021,117,41,14,4,2,,,,,,
D,2/19/2021,124,48,19,4,2,,,,,,
D,2/20/2021,112,47,17,4,,,,,1,1,
D,2/21/2021,111,43,13,5,,,,,,,
D,2/22/2021,154.5,53,26,8,,,1,,,,
D,2/23/2021,131.5,45,17,4,1,,,1,,,
D,2/24/2021,159,46,24,5,2,1,,,1,,
D,2/25/2021,118.5,54,22,1,1,,1,2,,,
D,2/26/2021,146,55,31,5,,,,1,,,
D,2/27/2021,102.5,46,12,4,,,,,,,
