Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
E,1/1/2021,135,42,17,3,,1,,,,,
E,1/2/2021,143,51,21,9,,,,,,,
E,1/3/2021,144,62,29,8,1,,,,1,,
E,1/4/2021,151.5,58,26,8,3,,,,,,
E,1/5/2021,155,52,21,6,2,,,,,,
E,1/6/2021,134,52,25,3,,,,1,,,
E,1/7/2021,124,50,23,1,,,,1,1,,
E,1/8/2021,166,50,27,2,2,,,,,,
E,1/9/2021,117,44,18,2,,,,,,,
E,1/10/2021,127,45,20,3,,,,,,,
E,1/11/2021,149.5,53,23,4,,,,1,,,
E,1/12/2021,157,59,24,7,3,,,,,,
E,1/13/2021,138.5,57,24,6,2,,,,,,
E,1/14/2021,169.5,53,23,6,5,1,,,,,
E,1/15/2021,144,51,28,2,1,,,,,,
E,1/16/2021,150,59,27,6,1,,,,,,
E,1/17/2021,153.5,52,30,5,,,,,,,
E,1/18/2021,190,43,14,11,3,,,,,,
E,1/19/2021,177,41,21,4,,2,,,,,
E,1/20/2021,125.5,54,21,3,2,,,,,,
E,1/21/2021,150,50,19,5,5,,,,,,
E,1/22/2021,119,54,22,5,,,,,,,
E,1/23/2021,147,52,29,5,,,,1,,,
E,1/24/2021,130,46,15,5,1,1,,,,,
E,1/25/2021,178,56,29,11,3,,,,,,
E,1/26/2021,167.5,61,28,11,3,1,,,,,
E,1/27/2021,145,52,29,5,2,,,,,,
E,1/28/2021,128.5,49,18,6,1,,,,,,
E,1/29/2021,138.5,53,29,2,1,,,,,,
E,1/30/2021,112,36,15,,,,,,,,
E,1/31/2021,127,57,28,1,,,,,,,
E,2/1/2021,123.5,50,23,3,,,,,,,
E,2/2/2021,117,45,19,2,,,,,,,
E,2/3/2021,148,49,27,4,1,,,,,,
E,2/4/2021,144,59,25,10,1,,,,,,
E,2/5/2021,142.5,53,22,6,1,,,,,,
E,2/6/2021,113,56,20,1,,,,,,,
E,2/7/2021,150.5,41,26,,,,,,,,
E,2/8/2021,138,53,24,7,2,,,,,,
E,2/9/2021,131,48,22,2,3,,,,,,
E,2/10/2021,131.5,56,30,3,,,,,,,
E,2/11/2021,146,49,24,8,,,,,,,
E,2/12/2021,151,47,27,4,1,,,,,,
E,2/13/2021,106.5,46,15,,,,,,,,
E,2/14/2021,147,41,20,5,1,,,,,,
E,2/15/2021,126,53,25,3,2,,,,1,,
E,2/16/2021,134,52,21,7,,,,,,,
E,2/17/2021,147,60,28,8,1,1,,,,,
E,2/18/2021,,63,,,,,,,,,
E,2/19/2021,119,41,17,2,,,,,,,
E,2/20/2021,109,43,16,2,,,,,,1,
E,2/21/2021,101.5,38,11,1,,,,,,,
E,2/22/2021,135.5,53,28,3,,,,,,,
E,2/23/2021,117,47,20,1,,,,,,,
E,2/24/2021,163,60,33,8,1,,,,,,
E,2/25/2021,157,65,34,7,,,,,,,
E,2/26/2021,128,60,25,4,1,,,,,,
E,2/27/2021,131,40,19,,,,,,,,
E,2/28/2021,119,50,22,2,,,,,,,
E,3/1/2021,119,58,20,5,,1,,,,,
E,3/2/2021,134.5,46,24,4,,,,,,,
E,3/3/2021,111.5,49,18,2,,,,,,,
E,3/4/2021,109,64,18,3,,,,,,1,
E,3/5/2021,124,66,29,2,1,,,,,,
E,3/6/2021,108.5,47,15,1,2,,,1,,,
E,3/7/2021,129,62,32,2,,,,,,,
E,3/8/2021,120,67,27,6,,,,,,,
E,3/9/2021,128.5,61,25,8,,,,,,,
E,3/10/2021,125,60,27,6,,,,,,,
E,3/11/2021,128.5,50,22,1,1,,,,,,
E,3/12/2021,141.5,58,32,2,,,,,,1,
E,3/13/2021,96,42,8,,,1,,,,,
E,3/14/2021,132,56,26,3,,,,,,,
E,3/15/2021,137,67,28,6,3,,,,,,
E,3/16/2021,182.5,67,24,15,6,,,,,,
E,3/17/2021,135,47,19,8,,1,,,,1,
E,3/18/2021,144,64,30,10,1,,,,,,
E,3/19/2021,173,57,31,6,1,1,,1,,,
E,3/20/2021,112.5,54,19,4,,,,,,,
E,3/21/2021,147,43,20,2,,,,,,,
E,3/22/2021,128,68,27,9,1,,,,,,
E,3/23/2021,130,76,41,5,,,,,,,
E,3/24/2021,206,67,34,15,3,1,,,,,
E,3/25/2021,168,58,21,9,3,,,1,,1,
E,3/26/2021,156,59,34,7,3,,,,,,
E,3/27/2021,116.5,55,22,1,,,,,,,
E,3/28/2021,120,61,21,5,,,,,,,
E,3/29/2021,174.5,61,36,7,1,,,1,,,
E,3/30/2021,203,59,14,19,2,,,1,,,
E,3/31/2021,157,61,23,13,2,1,,,,,
E,4/1/2021,126,55,18,7,1,1,,,,,
E,4/2/2021,136,57,29,3,2,,,,,,
E,4/3/2021,130,58,25,3,1,,,,,,
E,4/4/2021,149.5,55,19,7,3,,,,,,
E,4/5/2021,155,66,24,10,2,,,2,,,
E,4/6/2021,178.5,51,22,4,4,3,2,1,,,
E,4/7/2021,127,55,22,5,1,1,,,,1,
E,4/8/2021,242,60,16,11,5,4,7,2,,,
