Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
F,1/1/2021,110,32,12,2,,,,,,,
F,1/2/2021,119,45,16,5,,,,1,,,
F,1/3/2021,95,31,8,1,,,,2,1,,
F,1/4/2021,122,46,16,3,2,,1,1,,,
F,1/5/2021,115.5,24,9,2,,,,,,,
F,1/6/2021,122,38,16,1,3,,,,,,
F,1/7/2021,163,42,23,7,1,1,1,,,,
F,1/8/2021,109,44,11,3,2,,,,,,
F,1/9/2021,114.5,21,8,1,,,,,,,
F,1/10/2021,106.5,33,10,1,,,,,,,
F,1/11/2021,117,32,11,4,,,,,,,
F,1/12/2021,144,33,16,4,2,1,,,,,
F,1/13/2021,124,40,17,4,,,,,,,
F,1/14/2021,132,35,17,2,,,,1,,,
F,1/15/2021,137,43,28,,,1,,,,,
F,1/16/2021,109.5,28,10,,,,,1,1,,
F,1/17/2021,133,34,14,4,,,,,,,
F,1/18/2021,130.5,46,24,2,,1,,1,1,,
F,1/19/2021,121.5,38,18,1,,,,1,,,
F,1/20/2021,130.5,44,16,6,,1,1,,,,
F,1/21/2021,119,34,12,2,,1,,1,1,,
F,1/22/2021,143,44,23,6,1,,1,,,,
F,1/23/2021,122,29,13,1,,,1,,,,
F,1/24/2021,117,32,12,1,1,,,,1,,
F,1/25/2021,119,39,16,,1,,,1,,1,
F,1/26/2021,138,32,14,4,1,1,,,1,,
F,1/27/2021,119,37,16,,,1,,,,,
F,1/28/2021,132,42,23,1,,,,2,,,
F,1/29/2021,129,39,17,6,1,,,,,,
F,1/30/2021,98.5,24,6,1,1,,,2,,,
F,1/31/2021,127,27,8,6,1,,,,,,
F,2/1/2021,131,32,14,4,1,,,,,,
F,2/2/2021,98,34,11,1,,1,,1,,,
F,2/3/2021,100,38,8,,1,,,2,,,
F,2/4/2021,115,34,10,3,1,1,,,,,
F,2/5/2021,118,34,13,2,,,,,,,
F,2/6/2021,109.5,23,8,1,1,,,,,,
F,2/7/2021,104,32,6,1,,,,2,,,
F,2/8/2021,140,44,22,2,,,,1,,,
F,2/9/2021,120,31,12,,1,1,1,,,,
