Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
G,1/1/2021,84,30,6,1,,,,1,,,
G,1/2/2021,107,44,16,2,,,,,,,
G,1/3/2021,107,31,9,1,1,1,,,,1,
G,1/4/2021,152,39,22,5,,,,1,,,
G,1/5/2021,131,32,14,2,,1,,,,,
G,1/6/2021,133.5,48,16,8,1,,,1,,,
G,1/7/2021,122,34,16,,2,,,,,,
G,1/8/2021,119,35,16,,,,,,,,
G,1/9/2021,110,22,6,,,,,,,,
G,1/10/2021,84.5,38,9,1,1,,,,,,
G,1/11/2021,125,45,14,7,,1,,,,,
G,1/12/2021,108,32,8,1,1,1,,2,,,
G,1/13/2021,136,36,15,3,1,,,,,,
G,1/14/2021,112,41,15,3,,,,,,,
G,1/15/2021,140,40,13,5,2,,1,,,,
G,1/16/2021,85.5,34,10,1,,,1,,,,
G,1/17/2021,86,33,8,,,,,,1,,
G,1/18/2021,109,36,13,2,,,,,,,
G,1/19/2021,121,39,16,2,,,,1,,,
G,1/20/2021,96,34,10,,,,,,1,,
G,1/21/2021,88,42,13,3,,,,,,,
G,1/22/2021,97,50,12,4,1,,,,,,
G,1/23/2021,96,23,7,,,,,,,,
G,1/24/2021,90,37,6,1,,,1,,2,,
G,1/25/2021,112,45,15,2,,,1,,,,
G,1/26/2021,124,39,15,4,1,1,,,,,
G,1/27/2021,122,39,10,7,1,,,1,,,
G,1/28/2021,85,28,9,1,,,,1,,,
G,1/29/2021,108,49,12,2,1,,,1,,,
G,1/30/2021,98,32,11,,,,,,,,
G,1/31/2021,114,38,14,2,1,,,,1,,
G,2/1/2021,106,43,13,4,,,,,,1,
G,2/2/2021,136,27,10,4,,,,,1,,
G,2/3/2021,117,40,12,4,1,,,,1,,
G,2/4/2021,110,46,17,3,1,,,,,,
G,2/5/2021,118.5,36,14,1,1,,1,,,,
G,2/6/2021,107.5,36,13,,,,,,,,
G,2/7/2021,108.5,36,15,,,,,,,,
G,2/8/2021,140,46,21,4,,1,1,,,,
G,2/9/2021,105,41,16,2,,,,,,,
G,2/10/2021,107,43,14,3,,,,,,,
G,2/11/2021,123.5,30,14,2,,,,,,,
G,2/12/2021,92,34,7,1,,,,,,,
G,2/13/2021,101,39,9,4,,,,,,,
G,2/14/2021,84,35,3,,2,,,,,,
G,2/15/2021,116,33,12,,,1,1,,,,
G,2/16/2021,111,28,11,,1,,,,,,
G,2/17/2021,91,47,11,2,,,,,,,
G,2/18/2021,139,37,14,4,,1,,,,,
G,2/19/2021,134,48,19,5,2,,,,,,
G,2/20/2021,91,36,12,1,,,,,,,
G,2/21/2021,107,35,7,3,,,,,2,,
G,2/22/2021,151,51,23,5,1,1,,1,,1,
G,2/23/2021,121,54,20,5,1,,,,,,
G,2/24/2021,126,45,16,4,1,,,1,,,
G,2/25/2021,136,37,14,4,3,1,,,,,
G,2/26/2021,99,54,15,5,1,,,,,,
G,2/27/2021,87.5,43,11,1,1,,1,,,,
G,2/28/2021,102,42,12,1,,,2,,,,
G,3/1/2021,96.5,52,16,2,,,,,,,
G,3/2/2021,93,30,6,,,,,,,,
G,3/3/2021,106,45,12,3,,,,,,,
G,3/4/2021,115,44,11,7,,,,,,,
G,3/5/2021,106.5,44,11,4,2,,,,,,
G,3/6/2021,87,41,8,4,,1,,1,,,
G,3/7/2021,123,30,13,1,2,,,,,,
G,3/8/2021,112,46,18,1,,,,1,,,
G,3/9/2021,114.5,40,13,4,1,,,,,,
G,3/10/2021,107.5,31,10,3,,,,,,,
G,3/11/2021,107,50,13,3,,,,1,,,
G,3/12/2021,106,30,9,,,,,,,,
G,3/13/2021,100,37,9,3,1,,,,,,
G,3/14/2021,106,32,12,,,,,,,,
G,3/15/2021,116,44,16,1,3,,,,,,
G,3/16/2021,138,44,20,7,,1,1,,,,
G,3/17/2021,130,42,15,9,,,,,,,
G,3/18/2021,117,38,12,2,1,2,,1,,,
G,3/19/2021,125,42,19,2,1,,,,,,
G,3/20/2021,113,39,14,4,,,,,,,
G,3/21/2021,139,45,22,4,1,1,,,,,
G,3/22/2021,138,44,18,3,1,1,,,,,
G,3/23/2021,102,48,18,1,1,,,,,,
G,3/24/2021,144.5,45,19,3,5,2,,,,,
G,3/25/2021,142,43,16,9,,,,,,,
G,3/26/2021,103,49,14,2,1,,,1,,,
G,3/27/2021,108,27,6,2,,,1,,,,
G,3/28/2021,107,35,11,3,,,,1,,,
G,3/29/2021,134,45,15,5,1,,1,1,1,,
G,3/30/2021,115,44,13,6,,,,1,,,
G,3/31/2021,124,42,18,2,2,2,,,,,
G,4/1/2021,116,45,15,5,,1,,,,,
G,4/2/2021,96,32,10,,,,1,,,,
G,4/3/2021,85,18,6,1,,,,,,,
G,4/4/2021,88,45,11,2,,,,1,,,
G,4/5/2021,159,51,18,11,,3,,3,,,
G,4/6/2021,152,43,16,5,2,1,,1,,,
G,4/7/2021,108,52,12,8,,1,,,,,
G,4/8/2021,116.5,37,15,1,,,1,,,,
G,4/9/2021,151,45,20,6,2,,,,,,
G,4/10/2021,109,31,12,1,1,,,,,,
G,4/11/2021,113,33,8,4,,,,1,,,
G,4/12/2021,100,41,15,1,,,,,,,
G,4/13/2021,141,43,18,5,2,1,,1,,,
G,4/14/2021,123,35,13,3,1,,,,,,
G,4/15/2021,103.5,48,13,2,1,1,,1,,,
G,4/16/2021,132,41,17,3,2,,,,2,,
G,4/17/2021,105,29,8,1,2,,,1,,,
G,4/18/2021,123,41,13,6,,1,,,,1,
G,4/19/2021,166.5,48,25,5,3,1,1,1,,,
G,4/20/2021,121.5,33,9,3,1,1,1,1,,,
G,4/21/2021,120,45,12,8,,1,1,,1,,
G,4/22/2021,143,43,19,9,2,,,,,,
G,4/23/2021,108,52,16,2,1,1,,,,,
G,4/24/2021,87,39,8,,2,,,,1,,
G,4/25/2021,99,44,15,2,,,,,,,
G,4/26/2021,105,56,16,5,1,,,,,,
G,4/27/2021,114,42,11,6,1,1,,,,,
G,4/28/2021,111,47,13,1,2,1,,,,,
G,4/29/2021,134.5,40,10,2,3,2,,1,1,,
G,4/30/2021,132,35,10,7,,1,1,,,,
G,5/1/2021,113,52,21,3,,,1,,,,
G,5/2/2021,134,40,18,3,1,,,1,,,
G,5/3/2021,196.5,54,16,10,6,1,2,2,,,
G,5/4/2021,136.5,42,16,5,2,1,,,1,,
G,5/5/2021,159,48,14,6,4,1,1,1,,,
G,5/6/2021,168,48,17,5,4,3,,3,,,
G,5/7/2021,153,37,12,7,,1,,,1,,
G,5/8/2021,123.5,39,14,2,3,,,,1,,
G,5/9/2021,112,39,8,5,1,,1,1,,1,
G,5/10/2021,139,57,27,5,,1,,,,,
G,5/11/2021,148.5,42,19,8,2,,,,,,
G,5/12/2021,155,41,13,6,2,,1,,,,
G,5/13/2021,148,35,16,2,2,2,,1,,,
G,5/14/2021,122,37,17,1,1,,1,,,,
G,5/15/2021,90,35,10,1,,,,,,,
G,5/16/2021,120.5,35,12,1,,,,2,2,1,
G,5/17/2021,176.5,48,19,6,3,1,,3,1,,
G,5/18/2021,154,53,22,9,2,3,,,1,,
G,5/19/2021,171,37,15,5,1,1,2,1,1,,
G,5/20/2021,122,46,10,5,,,6,3,,,
G,5/21/2021,154,46,21,3,3,,,1,,,
G,5/22/2021,115,34,10,2,,,,1,1,,
G,5/23/2021,118.5,44,18,1,1,,1,,,1,
G,5/24/2021,161,35,14,1,3,5,2,1,,,
G,5/25/2021,144,40,20,2,1,1,,,1,,
G,5/26/2021,146,45,24,6,3,,,,,,
G,5/27/2021,123.5,42,16,3,3,,,,,,
G,5/28/2021,127,35,11,5,2,,1,1,,,
G,5/29/2021,118,39,15,3,1,,,,,,
G,5/30/2021,119,37,16,,,,,1,,,
G,5/31/2021,90,31,5,2,,,,,,,
G,6/1/2021,140,38,17,4,2,,,,,,
G,6/2/2021,131.5,38,16,3,2,,,,,1,
G,6/3/2021,127,43,17,6,,,2,,,,
G,6/4/2021,144,31,14,3,2,1,,,,,
G,6/5/2021,133,35,16,3,,1,,,,,
G,6/6/2021,129,48,18,2,2,,1,1,,,
G,6/7/2021,137,40,10,2,3,4,2,2,,,
G,6/8/2021,118,51,16,2,3,3,,,,,
G,6/9/2021,138,49,29,3,,,,,,1,
G,6/10/2021,198,37,12,3,7,1,2,2,,,
G,6/11/2021,135,42,14,7,,,,2,,,
G,6/12/2021,114.5,26,9,,1,,,,,,
G,6/13/2021,114,42,16,3,1,,,,,,
G,6/14/2021,216.5,35,13,8,3,3,1,,,,
G,6/15/2021,180,46,16,7,1,1,,,1,,
G,6/16/2021,142.5,44,13,6,3,1,,,,,
G,6/17/2021,128,35,16,2,1,,,1,,,
G,6/18/2021,152,45,20,5,1,1,,3,,,
G,6/19/2021,140,33,12,5,,,,1,,,
G,6/20/2021,147,33,16,4,,,,1,,,
G,6/21/2021,110,45,13,4,1,1,1,,,,
G,6/22/2021,124.5,35,13,3,,,1,2,1,,
G,6/23/2021,132.5,39,16,4,,,,1,,,
G,6/24/2021,139,35,8,3,,4,2,1,1,,
G,6/25/2021,123,48,19,4,1,,1,1,,,
G,6/26/2021,155.5,34,8,7,2,2,,1,,,
G,6/27/2021,109,42,12,2,,,,,,,
G,6/28/2021,123,46,11,7,2,1,,2,,,
G,6/29/2021,140.5,40,21,5,2,,,1,1,,
G,6/30/2021,121.5,47,17,3,2,1,,1,,,
G,7/1/2021,195,36,18,5,2,1,1,1,,,
G,7/2/2021,134,41,20,2,2,1,,,,,
G,7/3/2021,117,32,13,1,1,,,1,,,
G,7/4/2021,107.5,43,15,2,,1,,,,,
G,7/5/2021,112,41,13,1,,4,,,,1,
G,7/6/2021,106,48,14,5,1,,,,,,
G,7/7/2021,114,43,17,2,1,,,1,,,
G,7/8/2021,167,48,25,5,1,1,,3,1,,
G,7/9/2021,122.5,47,13,7,2,,2,,,,
G,7/10/2021,137,38,12,4,3,1,,1,,,
G,7/11/2021,112,37,11,3,2,,,,,,
G,7/12/2021,222,41,16,4,,1,6,5,2,1,
G,7/13/2021,428,32,7,5,3,5,1,7,,,
G,7/14/2021,140,32,15,4,1,,,,,,
G,7/15/2021,157,40,14,6,3,3,1,2,,,
G,7/16/2021,168,43,17,10,2,,,2,,,
G,7/17/2021,136,37,15,5,1,,,,,,
G,7/18/2021,154,29,12,6,1,,,,,,
G,7/19/2021,200,51,11,3,5,2,8,4,1,,
G,7/20/2021,137,36,12,2,3,1,2,1,,,
G,7/21/2021,134.5,46,19,4,2,1,,,1,,
G,7/22/2021,167,43,11,3,2,5,3,2,,,
G,7/23/2021,142,42,16,5,3,,,2,,,
G,7/24/2021,118,41,19,2,,,,,,,
G,7/25/2021,138,42,22,,1,2,,2,,,
G,7/26/2021,240.5,43,15,5,5,5,3,3,,,
G,7/27/2021,283.5,43,12,9,6,4,1,1,1,,
G,7/28/2021,197,48,21,9,3,2,,2,,,
G,7/29/2021,305,40,9,6,4,2,2,9,1,,
G,7/30/2021,234.5,48,15,8,6,4,1,4,,,
G,7/31/2021,204,39,19,5,3,1,2,1,,,
G,8/1/2021,168,34,16,5,2,1,,1,,,
G,8/2/2021,249,43,14,4,5,5,4,5,,,
G,8/3/2021,144,37,18,1,3,,1,1,,,
G,8/4/2021,153,40,18,4,3,2,,,,,
G,8/5/2021,199.5,46,17,5,1,2,,9,1,,
G,8/6/2021,182,40,12,2,2,1,1,9,1,,
G,8/7/2021,183,31,10,3,3,,4,1,,1,
G,8/8/2021,281.5,24,4,5,4,3,,1,,,
G,8/9/2021,187,46,17,7,1,5,3,,1,,
G,8/10/2021,184,36,13,6,4,2,,,1,,
G,8/11/2021,353,37,11,4,6,4,2,4,1,,
G,8/12/2021,303,43,9,11,8,1,1,8,,,
G,8/13/2021,185,44,17,7,2,3,1,3,,,
G,8/14/2021,189,37,15,5,3,3,,3,,,
G,8/15/2021,112,33,12,1,,,1,,,,
G,8/16/2021,211,45,16,5,6,1,2,7,,,
G,8/17/2021,288,49,13,8,2,5,7,6,,,
G,8/18/2021,184,47,21,5,2,2,,5,1,,
G,8/19/2021,451,42,8,7,4,1,2,13,1,1,
G,8/20/2021,315.5,35,13,5,3,8,5,,,,
G,8/21/2021,165,33,12,3,3,,3,1,,,
G,8/22/2021,316,50,11,7,1,1,4,8,5,3,
G,8/23/2021,712,30,3,4,2,1,2,12,2,,
G,8/24/2021,282.5,45,9,3,2,5,4,8,,1,
G,8/25/2021,167,34,11,6,4,2,1,,,,
G,8/26/2021,312.5,47,11,2,3,5,4,8,2,,
G,8/27/2021,361,32,9,3,6,6,,2,2,,
G,8/28/2021,250,30,8,9,3,2,,1,,,
G,8/29/2021,167.5,36,11,4,3,2,1,2,,,
G,8/30/2021,188.5,34,9,6,4,2,1,1,,,
G,8/31/2021,225,43,16,7,6,1,4,1,,1,
G,9/1/2021,198,31,17,5,1,1,,1,,,
G,9/2/2021,169,36,15,4,2,1,,5,,,
G,9/3/2021,190.5,30,8,4,5,,1,2,,,
G,9/4/2021,197,44,15,9,3,2,1,1,,,
G,9/5/2021,116,27,7,2,2,,,1,,,
G,9/6/2021,113.5,42,16,3,,1,,,,,
G,9/7/2021,301,47,10,5,6,2,2,10,1,,
G,9/8/2021,540,34,1,6,6,6,7,7,1,,
G,9/9/2021,339,34,6,8,5,2,2,6,,,
G,9/10/2021,259,33,8,10,4,1,1,,1,1,
G,9/11/2021,137,39,14,3,2,,,1,1,,
G,9/12/2021,157.5,39,16,7,2,,,1,,,
G,9/13/2021,246.5,53,17,8,7,3,1,5,1,1,
G,9/14/2021,172,30,12,6,2,1,,,,,
G,9/15/2021,318.5,47,12,7,3,6,5,7,,1,
G,9/16/2021,540,37,6,2,4,6,5,10,1,,
G,9/17/2021,157,32,14,4,2,1,,,1,,
G,9/18/2021,136,44,16,5,2,,1,1,,,
G,9/19/2021,122.5,36,16,1,1,1,1,,,,
G,9/20/2021,281,43,14,5,1,5,3,8,,,
G,9/21/2021,150,40,18,4,,,1,2,1,,
G,9/22/2021,205.5,34,16,7,2,,2,2,,,
G,9/23/2021,582,29,4,5,3,2,7,6,,,
G,9/24/2021,144,37,17,8,,,,1,,,
G,9/25/2021,149,33,13,4,3,1,1,,,,
G,9/26/2021,136,42,17,4,1,1,2,1,,,
G,9/27/2021,276,43,9,10,4,,2,8,,,
G,9/28/2021,324,42,7,9,10,3,,3,1,1,
G,9/29/2021,229.5,35,10,9,2,,,4,,,
G,9/30/2021,219,45,16,4,1,2,3,8,2,,
G,10/1/2021,189.5,35,16,8,2,,,,1,,
