
"DOS (No Time)","Median Decision to Departure","Total Admitted Pts","2-4 Hours","4-6 Hours","6-8 Hours","8-10 Hours","10-12 Hours","12-24 Hours","24-36 Hours","36-48 Hours","> 48 Hours"
"1/1/21","35.5","2","","","","","","","","",""
"1/2/21","38","4","","","","","","","","",""
"1/3/21","60","1","","","","","","","","",""
"1/4/21","67","5","1","","","","","","","",""
"1/5/21","78","10","2","","","","","","","",""
"1/6/21","93","8","1","1","","","","","","",""
"1/7/21","67","5","1","","","","","","","",""
"1/8/21","97","7","3","","","","","","","",""
"1/9/21","62","4","","","","","","","","",""
"1/10/21","57","5","1","","","","","","","",""
"1/11/21","90.5","8","1","","1","","","","","",""
"1/12/21","37.5","7","1","","","","","","","",""
"1/13/21","114","7","3","","","","","","","",""
"1/14/21","143","3","2","","","","","","","",""
"1/15/21","62","5","","","","","","","","",""
"1/16/21","45.5","4","","","","","","","","",""
"1/17/21","80.5","4","1","","","","","","","",""
"1/18/21","98","2","","","","","","","","",""
"1/19/21","80","8","","","","","","","","",""
"1/20/21","40.5","3","","","","","","","","",""
"1/21/21","107","3","1","","","","","","","",""
"1/22/21","73","9","1","","","","","","","",""
"1/23/21","59","3","1","","","","","","","",""
"1/24/21","41","3","1","","","","","","","",""
"1/25/21","57","7","1","","","","","","","",""
"1/26/21","81","3","1","","","","","","","",""
"1/27/21","67","7","1","1","","","","","","",""
"1/28/21","60","3","","","","","","","","",""
"1/30/21","62.5","4","","1","","","","","","",""
"1/31/21","71","5","","","","","","","","",""
"2/1/21","60","7","1","","","","","","","",""
"2/2/21","106","1","","","","","","","","",""
"2/3/21","50","4","","","","","","","","",""
"2/4/21","87.5","8","1","","","","","","","",""
"2/5/21","71","5","1","","","","","","","",""
"2/6/21","81","4","","","","","","","","",""
"2/7/21","181","4","2","","","","","","","",""
"2/8/21","121","7","4","","","","","","","",""
"2/9/21","43","6","1","","","","","","","",""
"2/10/21","52","4","","","","","","","","",""
"2/11/21","53","7","","","1","","","","","",""
"2/12/21","43","7","","","","","","","","",""
"2/13/21","60","6","","","","","","","","",""
"2/14/21","40","7","","","","","1","","","",""
"2/15/21","72","9","1","","","","","","","",""
"2/17/21","40","5","","","","","","","","",""
"2/18/21","59","3","","","","","","","","",""
"2/19/21","71.5","6","","","","","","","","",""
"2/20/21","49","1","","","","","","","","",""
"2/21/21","44","3","","","","","","","","",""
"2/22/21","50","6","","","","","","","","",""
"2/23/21","59.5","4","1","","","","","","","",""
"2/24/21","83","7","2","1","","","","","","",""
"2/25/21","78","5","2","","","","","","","",""
"2/26/21","111.5","6","1","1","","","","","","",""
"2/27/21","70","6","","","","","","1","","",""
