Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
I,1/1/2021,120,49,21,4,,,,,,,
I,1/2/2021,119.5,54,23,3,1,,,,,,
I,1/3/2021,106,39,16,2,,,,1,,,
I,1/4/2021,161.5,65,25,7,4,3,4,3,,,
I,1/5/2021,193,36,13,3,5,,5,,,,
I,1/6/2021,193,44,20,11,,1,,1,,,
I,1/7/2021,153,45,17,6,2,1,4,1,,,
I,1/8/2021,161.5,60,28,7,5,1,1,1,,,
I,1/9/2021,138,40,18,4,2,,,,,,
I,1/10/2021,103,42,14,1,3,,,,,,
I,1/11/2021,147,52,31,6,,1,,,,,
I,1/12/2021,130,47,21,5,,,,,,,
I,1/13/2021,156,48,20,9,1,,,,,,
I,1/14/2021,112,38,14,1,,,,,,,
I,1/15/2021,120.5,35,18,1,1,,,,,,
I,1/16/2021,113,41,13,,2,,,,,,
I,1/17/2021,117.5,44,22,,,,,,,,
I,1/18/2021,139,46,22,4,1,,,,,,
I,1/19/2021,136,41,19,4,,1,,,,,
I,1/20/2021,130,51,26,5,,,,,,,
I,1/21/2021,148,53,27,6,3,,,,,,
I,1/22/2021,141,48,24,5,1,,,,,,
I,1/23/2021,115.5,38,18,1,,,,,,,
I,1/24/2021,100,43,14,1,1,,,,,,
I,1/25/2021,121.5,45,21,4,,,,,,,
I,1/26/2021,121,52,22,3,1,,,,,,
I,1/27/2021,143.5,46,25,4,,,,,,,
I,1/28/2021,124,39,21,1,,,,,,,
I,1/29/2021,108,36,10,4,,,,,,,
I,1/30/2021,111,46,14,2,1,,,,,,
I,1/31/2021,118.5,40,17,3,,,,,,,
I,2/1/2021,159,61,33,7,,1,,,,,
I,2/2/2021,164,61,38,8,,,,,,,
I,2/3/2021,169,54,33,9,2,,,,,,
I,2/4/2021,156,49,25,9,1,,,,,,
I,2/5/2021,138,50,22,6,,,,,,,
I,2/6/2021,115.5,38,17,1,,,,,,,
I,2/7/2021,137.5,38,20,2,1,,,,,,
I,2/8/2021,139.5,44,26,2,,,,,,,
I,2/9/2021,138,46,27,6,,,,,,,
I,2/10/2021,118,41,17,2,,1,,,,,
I,2/11/2021,121,46,22,3,,,,,,,
I,2/12/2021,117,52,20,5,1,,,,,,
I,2/13/2021,146,36,21,1,1,,,,,,
I,2/14/2021,109,50,22,1,1,,,,,,
I,2/15/2021,137,49,24,5,,,,,,,
I,2/16/2021,138,54,34,3,,,,,,,
I,2/17/2021,125,42,21,2,,,,,,,
I,2/18/2021,119.5,44,18,4,,,,,,,
I,2/19/2021,129,48,24,2,1,,,,,,
I,2/20/2021,111,43,17,1,,,,,,,
I,2/21/2021,114,46,19,2,,,,,,,
I,2/22/2021,145,61,31,5,,,,,,,
I,2/23/2021,142,54,19,9,1,,,,,,
I,2/24/2021,141,57,30,6,,,,,,,
I,2/25/2021,158,60,32,3,2,2,1,3,,,
I,2/26/2021,142,46,26,4,2,,,,,,
I,2/27/2021,109,41,15,1,,,,,,,
I,2/28/2021,102,41,11,1,1,,,,,,
I,3/1/2021,122.5,55,26,1,1,,,,,,
I,3/2/2021,153,54,29,8,,,,,,,
I,3/3/2021,155,57,34,7,2,,,,,,
I,3/4/2021,158.5,56,35,5,,,,,,,
I,3/5/2021,146,51,31,3,2,,,,,,
I,3/6/2021,125,44,19,3,1,,1,,,,
I,3/7/2021,108,54,14,3,,,,,,,
I,3/8/2021,122,54,22,6,,,,,,,
I,3/9/2021,145,57,33,2,3,,,,,,
I,3/10/2021,178,62,34,9,3,,,1,,,
I,3/11/2021,162.5,50,26,3,2,2,1,,,,
I,3/12/2021,148,54,30,5,2,2,,,,,
I,3/13/2021,146,33,19,1,,1,,,,,
I,3/14/2021,113,44,13,3,2,1,,,,,
I,3/15/2021,145.5,60,28,12,1,,,,,,
I,3/16/2021,172,52,31,8,1,,1,,,,
I,3/17/2021,119,46,19,3,,,,,,,
I,3/18/2021,137.5,56,33,2,,,,,,,
I,3/19/2021,117,50,20,1,2,,,,,,
I,3/20/2021,110,46,20,,,,,,,,
I,3/21/2021,92,43,14,,,,,,,,
I,3/22/2021,126,46,22,2,1,1,,,,,
I,3/23/2021,132,55,28,4,,,,,,,
I,3/24/2021,159,57,37,3,,,1,,,,
I,3/25/2021,147,52,25,6,3,2,,,,,
I,3/26/2021,121,49,21,4,,,,,,,
I,3/27/2021,118.5,46,19,1,1,,,,,,
I,3/28/2021,131,51,28,2,,,,,,,
I,3/29/2021,116.5,60,23,1,,2,,1,,,
I,3/30/2021,157.5,56,23,8,3,,2,,,,
I,3/31/2021,161,52,24,9,2,1,,,,,
I,4/1/2021,146.5,47,24,4,,,,,,,
I,4/2/2021,100,45,16,,,,,,,,
I,4/3/2021,114,31,11,2,,,,,,,
I,4/4/2021,145,47,22,5,1,,,,,,
I,4/5/2021,181,67,29,8,1,1,2,9,,,
I,4/6/2021,151,59,22,8,3,2,2,,,,
I,4/7/2021,320.5,60,15,9,5,2,3,17,,,
I,4/8/2021,172,53,22,5,4,4,2,1,,,
I,4/9/2021,157,54,26,5,3,1,1,,,,
I,4/10/2021,122,40,19,,1,1,,,,,
I,4/11/2021,116,48,20,3,1,,,,,,
I,4/12/2021,195,60,24,13,2,2,1,5,,,
I,4/13/2021,222.5,49,16,9,6,5,,,,,
I,4/14/2021,152,46,27,6,2,1,,,,,
I,4/15/2021,152,65,36,10,3,,,1,,,
I,4/16/2021,163,51,26,5,4,1,,1,,,
I,4/17/2021,148,47,23,3,1,,,,,,
I,4/18/2021,111,48,17,2,,1,,1,,,
