Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
J,1/1/2021,85.5,28,5,1,,,,,,,
J,1/2/2021,100,22,5,2,,,,1,,,
J,1/3/2021,64,16,3,,,,,,,,
J,1/4/2021,65,23,3,1,,,,,,,
J,1/5/2021,134,20,8,2,1,,,,1,,
J,1/6/2021,79,19,5,,,,,1,,,
J,1/7/2021,65,15,2,1,,,,1,,,
J,1/8/2021,105.5,22,7,,1,,,,,,
J,1/9/2021,92,21,6,1,2,,,1,,,
J,1/10/2021,86,11,1,1,,,,,,,
J,1/11/2021,79,21,1,3,1,,,,1,,
J,1/12/2021,88,17,3,,,,,,,,
J,1/13/2021,60,19,3,,,,,,,,
J,1/14/2021,100,21,3,3,1,,,,,,
J,1/15/2021,91.5,22,6,,,,,,,,
J,1/16/2021,64,17,1,,,,,,,,
J,1/17/2021,79,15,2,,,,,,,,
J,1/18/2021,104,16,4,,1,,,,,,
J,1/19/2021,95,20,6,1,1,,,,,,
J,1/20/2021,69,16,4,,,,,1,,,
J,1/21/2021,100,30,8,,1,,,1,,,
J,1/22/2021,66.5,18,2,1,1,,,,,,
J,1/23/2021,58,13,1,,,,,,,,
J,1/24/2021,97,15,1,,,1,,1,,,
J,1/25/2021,83,16,6,,,,,,,,
J,1/26/2021,67.5,21,2,,,,1,,,,
J,1/27/2021,66,17,3,,,,,1,,,
J,1/28/2021,66.5,14,2,,,,,,,,
J,1/29/2021,51.5,18,2,,,,,,,,
J,1/30/2021,66,20,4,,,,,,,,
J,1/31/2021,71,20,5,,,,,,,,
J,2/1/2021,95,16,5,1,,,,,,,
J,2/2/2021,61,16,,,,,,,,,
J,2/3/2021,59,13,2,,,,,,,,
J,2/4/2021,80.5,14,3,,1,,,,,,
J,2/5/2021,74,25,7,1,,,,,,,
J,2/6/2021,72,17,2,,,,,,,,
J,2/7/2021,63,19,2,1,,,,,,,
J,2/8/2021,90,18,2,,2,,,,,,
J,2/9/2021,58,16,3,,,,,,,,
J,2/10/2021,71,13,2,,,,,,,,
J,2/11/2021,68,18,2,,,,,,,,
J,2/12/2021,88,10,1,,,,,,,,
J,2/13/2021,88,10,3,1,,,,,,,
J,2/14/2021,60,14,,,,,,,,,
J,2/15/2021,79,17,2,1,,,,,,,
J,2/16/2021,86,17,4,,,,,,,,
J,2/17/2021,70,17,,,,,,1,,,
J,2/18/2021,85,25,4,3,,,,,,,
J,2/19/2021,106,23,6,1,1,1,,,,,
J,2/20/2021,71,23,3,1,,,,,,,
J,2/21/2021,73,19,1,1,,,,,,,
J,2/22/2021,70,16,3,1,,,,,,,
J,2/23/2021,66,18,5,,,,,,,,
J,2/24/2021,81,21,3,,,,,,,,
J,2/25/2021,74,18,2,,,,,,,,
J,2/26/2021,79,24,3,1,1,,,,,,
J,2/27/2021,93.5,24,6,1,,1,,,,,
J,2/28/2021,78.5,24,3,2,,,,,,,
J,3/1/2021,75,21,5,1,,,,,,,
J,3/2/2021,83.5,20,3,,,,,,,,
J,3/3/2021,76,26,2,2,1,1,,,1,,
J,3/4/2021,58,19,5,1,,,,,,,
J,3/5/2021,89,17,,2,,1,,,,,
J,3/6/2021,99,15,4,,,,,,,,
J,3/7/2021,104.5,14,1,2,,,1,,,,
J,3/8/2021,71,24,2,1,2,,,,,,
J,3/9/2021,66.5,20,3,,,,,,,,
J,3/10/2021,83,15,4,,,,,,,,
J,3/11/2021,53,15,3,,,,,,,,
J,3/12/2021,82,22,8,,,,,,,,
J,3/13/2021,67,19,3,1,,,1,,,,
J,3/14/2021,68,20,4,1,,,,,,,
J,3/15/2021,85,17,3,,,,,,1,,
J,3/16/2021,47,21,1,1,,,,,,,
J,3/17/2021,49,17,,,,,,,,,
J,3/18/2021,89,18,6,,,,,,,,
J,3/19/2021,88.5,20,5,,,,,,1,,
J,3/20/2021,68,26,5,,,,,,,,
J,3/21/2021,72,25,7,,,,,,,1,
J,3/22/2021,112.5,18,5,3,,,,,,,
J,3/23/2021,148,26,14,4,,,,1,,,
J,3/24/2021,104,17,6,1,,,,,,,
J,3/25/2021,168,25,14,2,,1,,,,,
J,3/26/2021,76,22,3,1,1,,,,,,
J,3/27/2021,75,16,1,,1,,,,,,
J,3/28/2021,55.5,12,1,,,,,,,,
J,3/29/2021,73.5,32,7,2,,1,,,,,
J,3/30/2021,73,21,4,,,,,1,,,
J,3/31/2021,54,31,6,1,,,,,,,
J,4/1/2021,89,20,4,,1,,,,,,
J,4/2/2021,113,25,7,1,2,,,,,,
J,4/3/2021,88,25,8,,,,,1,,,
J,4/4/2021,100.5,22,6,2,1,,,,,,
J,4/5/2021,164,22,9,5,1,,,,1,,
J,4/6/2021,60.5,26,2,1,,,,1,,,
J,4/7/2021,57,25,4,,,,,1,1,,
J,4/8/2021,145,21,8,2,,1,1,2,,,
J,4/9/2021,89,19,4,,,,1,,1,,
J,4/10/2021,99,25,7,,1,,,1,,,
J,4/11/2021,93,21,4,,,1,,,,,
J,4/12/2021,151,22,7,2,,,,3,1,,
J,4/13/2021,171.5,26,9,5,1,1,,2,,,
J,4/14/2021,136,24,12,1,,,,2,,,
J,4/15/2021,93,23,7,1,,,,,,,
J,4/16/2021,64,21,4,,1,1,,,,,
J,4/17/2021,64,14,4,,,,,,,,
J,4/18/2021,73,15,3,,,,,,,,
J,4/19/2021,90.5,28,5,3,1,,,,,,
J,4/20/2021,204.5,21,6,7,,,,,,,
J,4/21/2021,174.5,30,15,4,,,,1,1,,
J,4/22/2021,134.5,20,11,,,,,,,1,
J,4/23/2021,75,14,1,,,,,,,,
J,4/24/2021,70,23,1,,,,,,,,
J,4/25/2021,61,19,4,,,,,,,,
J,4/26/2021,117,23,5,2,,2,1,,,1,
J,4/27/2021,78,22,4,3,,,,1,,,
J,4/28/2021,108.5,22,7,1,,1,1,,,,
J,4/29/2021,112.5,30,8,1,3,,,,,,
J,4/30/2021,132.5,14,3,2,,1,1,,,,
J,5/1/2021,74.5,20,2,,1,,,1,,,
J,5/2/2021,68,11,2,1,,,,,,,
J,5/3/2021,76.5,16,2,1,1,,,,,,
J,5/4/2021,97,29,8,2,,,1,1,,,
J,5/5/2021,103,21,7,2,1,,,,,,
J,5/6/2021,73.5,22,3,4,,,,,,,
J,5/7/2021,116,24,7,3,2,,,,,,
J,5/8/2021,79.5,24,5,,,,,,,,
J,5/9/2021,74.5,20,5,,,,,,,,
J,5/10/2021,140,21,8,3,2,,1,,,,
J,5/11/2021,91,26,7,1,,1,,2,,,
J,5/12/2021,94,17,3,,,,,,,,
J,5/13/2021,91,23,5,1,1,,,,,,
J,5/14/2021,158,19,4,3,4,1,,,,,
J,5/15/2021,70,13,2,1,,,,,,,
J,5/16/2021,71,23,4,,,,,,,,
J,5/17/2021,77,22,4,1,,1,,,,,
J,5/18/2021,92,24,8,1,1,,,,,,
J,5/19/2021,125,19,9,1,,,,,,,
J,5/20/2021,129,23,10,1,,1,,,,,
J,5/21/2021,117,21,6,3,1,,,,,,
J,5/22/2021,87.5,18,1,1,,,,,,,
J,5/23/2021,94,21,5,1,,,,,,,
J,5/24/2021,112,19,5,2,1,,1,,,,
J,5/25/2021,111,18,4,3,,,,,,,
J,5/26/2021,94,29,9,1,,,,,1,,
J,5/27/2021,180,21,6,4,1,1,,,1,,
J,5/28/2021,109.5,20,6,2,1,,,,,,
J,5/29/2021,85,17,5,,,,,,,,
J,5/30/2021,76,13,2,,,,,,,,
J,5/31/2021,75,12,1,,,,,1,,,
J,6/1/2021,73.5,20,3,,,,,,,,
J,6/2/2021,83,25,6,1,,,,,,,
J,6/3/2021,100.5,12,5,,,,,,,,
J,6/4/2021,71,17,4,1,,,,,,,
J,6/5/2021,62,21,2,,,,,,,,
J,6/6/2021,115,26,9,,,,1,1,,,
J,6/7/2021,127,20,7,3,1,,,,,,
J,6/8/2021,75,23,3,2,,,,1,,,
J,6/9/2021,58.5,26,7,,,,1,,,,
J,6/10/2021,79.5,20,3,2,1,,,,,,
J,6/11/2021,121,31,9,3,2,1,,,1,,
J,6/12/2021,101.5,21,4,4,,,,,,,
J,6/13/2021,81,21,3,1,,,,2,,,
J,6/14/2021,107.5,20,9,,,,,1,,,
J,6/15/2021,87,27,4,,,,1,1,1,,
J,6/16/2021,158.5,16,6,1,,2,,2,,,
J,6/17/2021,117.5,21,7,2,2,,,,,,
J,6/18/2021,163,19,7,1,,1,1,,,,
J,6/19/2021,120,17,9,,,,,,,,
J,6/20/2021,89,17,1,1,,,1,1,,,
J,6/21/2021,70,24,3,,,1,,1,,1,
J,6/22/2021,120.5,20,6,3,1,,,,,,
J,6/23/2021,79.5,21,5,1,,,,1,,,
J,6/24/2021,97,26,3,3,2,2,1,,,,
J,6/25/2021,160.5,20,10,2,,,,,,,
J,6/26/2021,94,17,4,1,1,,,,,,
J,6/27/2021,82,17,5,,,,,,,,
J,6/28/2021,81,26,5,1,,,,1,,,
J,6/29/2021,94,31,7,3,1,,,1,,,
J,6/30/2021,96,23,7,,1,,,1,,,
J,7/1/2021,50.5,14,1,1,,,,,,,
J,7/2/2021,92.5,16,3,2,,,,,,,
J,7/3/2021,90,30,7,1,2,,,,,,
J,7/4/2021,119,21,7,1,,,,2,,,
J,7/5/2021,73.5,21,2,2,1,,,1,,,
J,7/6/2021,106,17,5,2,,,,,1,,
J,7/7/2021,85,24,5,2,,,,,,,
J,7/8/2021,155,18,11,1,,,,,,,
J,7/9/2021,136,19,8,3,,,,,,,
J,7/10/2021,75.5,12,2,,,1,,,,,
J,7/11/2021,49,27,4,1,,,,,,,
J,7/12/2021,88.5,25,8,,,,,1,,,
