Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
K,1/1/2021,132,48,19,2,2,,2,,,1,
K,1/2/2021,123,47,19,3,2,1,,,,,
K,1/3/2021,109,61,18,5,,,,,,,
K,1/4/2021,125,47,20,6,,,,,,,
K,1/5/2021,164.5,44,25,3,3,,1,,,1,
K,1/6/2021,165,45,18,8,1,2,1,1,,,
K,1/7/2021,133.5,43,16,7,,,,1,,,
K,1/8/2021,149,52,31,4,,,,,,,
K,1/9/2021,141,45,23,2,,,,3,1,,
K,1/10/2021,124,37,18,2,,,,,,,
K,1/11/2021,216,64,20,13,4,2,,10,,,
K,1/12/2021,161,46,22,6,3,1,1,1,,,
K,1/13/2021,133.5,43,21,1,,,,2,1,,
K,1/14/2021,133.5,51,21,5,1,1,1,,,2,
K,1/15/2021,144,43,20,6,2,,2,,,,
K,1/16/2021,159,29,18,3,2,,,,,,
K,1/17/2021,142,42,27,3,,,,1,,,
K,1/18/2021,124,59,23,7,,2,,,,,
K,1/19/2021,159,46,20,8,,,,1,,1,
K,1/20/2021,171,41,20,7,1,,1,1,,,
K,1/21/2021,150,49,28,5,,,,1,,,
K,1/22/2021,145,50,18,9,1,1,,,,,
K,1/23/2021,129,42,20,3,,,,3,1,,
K,1/24/2021,120,37,15,3,1,,,,,,
K,1/25/2021,145,45,28,4,,,,1,,,
K,1/26/2021,141,54,25,5,,2,,,,,
K,1/27/2021,131,45,21,3,,1,,,,,
K,1/28/2021,124,36,15,3,1,,,,,,
K,1/29/2021,139,42,19,6,1,,,1,,,
K,1/30/2021,110,43,15,2,,,,,,1,
K,1/31/2021,101,36,11,,,,,1,,,
K,2/1/2021,130,51,26,1,1,,,1,,,
K,2/2/2021,118,35,10,2,2,,,1,,,
K,2/3/2021,135,44,20,3,2,,,1,,,
K,2/4/2021,137.5,34,14,4,1,,,1,,,
K,2/5/2021,113.5,40,17,1,,1,,,,,
K,2/6/2021,151,58,25,14,1,1,,2,1,,
K,2/7/2021,157.5,44,25,8,1,,,,,,
K,2/8/2021,158.5,58,32,10,1,,,,,,
K,2/9/2021,149,57,29,7,,,,,,,
K,2/10/2021,127.5,48,22,1,,,1,1,,,
K,2/11/2021,130,50,29,2,1,,,,,,
K,2/12/2021,136,37,14,6,,1,,1,,,
K,2/13/2021,103,50,13,5,1,,,,,,
K,2/14/2021,127,38,18,2,,,,1,,,
K,2/15/2021,142,68,28,5,2,2,1,2,,,
K,2/16/2021,168.5,50,22,13,1,1,,,,,
K,2/17/2021,206.5,48,24,14,1,,,,1,1,
K,2/18/2021,149.5,49,24,5,,1,,2,,,
K,2/19/2021,166.5,58,30,6,6,2,1,1,,,
K,2/20/2021,135,55,27,5,3,,,,,,
K,2/21/2021,122,29,16,,,,,,,,
K,2/22/2021,153.5,50,22,5,2,1,,2,,,
K,2/23/2021,107.5,54,21,3,1,,,,,,
K,2/24/2021,179,55,24,11,3,,1,3,,,
K,2/25/2021,143,61,22,11,,,,4,1,,
K,2/26/2021,161,49,33,4,,,1,,,,
K,2/27/2021,137,50,23,3,1,,,1,,,
K,2/28/2021,118.5,48,17,4,1,1,,,,,
K,3/1/2021,151,55,29,5,,,,,,2,
K,3/2/2021,122,49,21,2,1,,,,,,
K,3/3/2021,133,36,20,1,,,,,1,,
